filename,pageId,title,comparisonStatus,auditStatus,auditCoverage,callouts_expected,callouts_actual
"create-a-transfer-order-from-a-request-failure-2025-12-10T08-58-18.html","2c5a89fe-dba5-81f3-90f0-f5191adc86d0","Create a transfer order from a request","FAIL","PASS","108.6","9","4"
"create-an-entitlement-for-the-legacy-software-asset-manageme-failure-2025-12-10T08-26-37.html","2c5a89fe-dba5-810c-a8c9-ef9ff2450329","Create an entitlement for the legacy Software Asset Management plugin","FAIL","PASS","112.3","2","1"
"create-an-oracle-software-license-for-the-legacy-oracle-proc-failure-2025-12-10T08-35-15.html","2c5a89fe-dba5-8116-bf30-c09cba09ae5f","Create an Oracle software license for the legacy Oracle Process Pack","PASS","FAIL","115.7","1","1"
"create-and-manage-a-subscription-license-using-the-legacy-so-failure-2025-12-10T08-26-06.html","2c5a89fe-dba5-8125-990d-d35927b71f13","Create and manage a subscription license using the legacy Software Asset Management plugin","FAIL","FAIL","110.3","2","1"
"create-and-manage-an-enterprise-license-using-the-legacy-sof-failure-2025-12-10T08-25-47.html","2c5a89fe-dba5-81af-8a47-dcb771ecaa38","Create and manage an enterprise license using the legacy Software Asset Management plugin","FAIL","PASS","105.9","3","2"
"create-new-models-using-the-legacy-software-asset-management-failure-2025-12-10T08-30-00.html","2c5a89fe-dba5-8150-8fe6-e875a2bc1355","Create new models using the legacy Software Asset Management plugin","FAIL","PASS","103.9","3","1"
"create-software-contracts-for-the-legacy-software-asset-mana-failure-2025-12-10T08-34-09.html","2c5a89fe-dba5-8108-9b5d-c06cae3360e2","Create software contracts for the legacy Software Asset Management plugin","PASS","FAIL","108.3","1","1"
"customize-a-discovery-pattern-for-software-asset-management--failure-2025-12-10T08-37-49.html","2c5a89fe-dba5-8169-9a6a-dc76650e3f68","Customize a Discovery pattern for Software Asset Management Foundation plugin","FAIL","PASS","102.7","3","1"
"define-a-condition-check-2025-12-10T08-54-15.html","2c5a89fe-dba5-8137-aa10-ce28075f6cbd","","undefined","undefined","","",""
"define-a-condition-check-failure-2025-12-10T08-54-14.html","2c5a89fe-dba5-8137-aa10-ce28075f6cbd","Define a condition check","FAIL","PASS","109.2","2","1"
"determine-where-software-is-installed-using-the-legacy-softw-failure-2025-12-10T08-24-39.html","2c5a89fe-dba5-81ff-b5ac-dba3ce6e1de8","Determine where software is installed using the legacy Software Asset Management plugin","PASS","FAIL","89.8","",""
"downgrade-a-license-using-the-legacy-software-asset-manageme-failure-2025-12-10T08-27-11.html","2c5a89fe-dba5-81cf-b3c1-dee4d35706b0","Downgrade a license using the legacy Software Asset Management plugin","FAIL","PASS","98.8","1","2"
"entitle-a-license-to-a-configuration-item-using-the-legacy-s-failure-2025-12-10T08-26-35.html","2c5a89fe-dba5-81ea-b0e4-e7946a4aefc0","Entitle a license to a configuration item using the legacy Software Asset Management plugin","FAIL","PASS","105","","1"
"entitle-a-license-to-a-user-or-location-using-the-legacy-sof-failure-2025-12-10T08-26-40.html","2c5a89fe-dba5-81cc-854b-e670940f1560","Entitle a license to a user or location using the legacy Software Asset Management plugin","FAIL","PASS","106.2","","1"
"find-software-on-the-network-using-the-legacy-software-asset-failure-2025-12-10T08-25-07.html","2c5a89fe-dba5-81a7-b805-deb791184818","Find software on the network using the legacy Software Asset Management plugin","FAIL","PASS","103.5","4","3"
"generating-expense-lines-based-on-assets-or-users-failure-2025-12-10T08-50-30.html","2c5a89fe-dba5-818d-b699-fe1035b8f90d","Generating expense lines based on assets or users","FAIL","FAIL","105.1","","1"
"get-started-with-software-asset-management-foundation-plugin-failure-2025-12-10T08-37-28.html","2c5a89fe-dba5-8138-bf5a-f5f1dbd5a2e4","Get started with Software Asset Management Foundation plugin","FAIL","PASS","104.4","","1"
"installed-with-the-legacy-software-asset-management-plugin-failure-2025-12-10T08-24-34.html","2c5a89fe-dba5-81ab-8b7d-de82a216a72a","Installed with the legacy Software Asset Management plugin","FAIL","PASS","82.5","1","1"
"legacy-software-asset-management-plugin-overview-module-failure-2025-12-10T08-23-33.html","2c5a89fe-dba5-815e-b598-cb0e47b2d5ff","Legacy Software Asset Management plugin Overview module","PASS","FAIL","86.8","",""
"license-calculations-with-the-legacy-software-asset-manageme-failure-2025-12-10T08-28-07.html","2c5a89fe-dba5-810f-ab4a-e165b0fd5b6b","License calculations with the legacy Software Asset Management plugin","PASS","FAIL","90.9","",""
"manage-software-models-using-the-legacy-software-asset-manag-failure-2025-12-10T08-28-05.html","2c5a89fe-dba5-811f-a324-c97dc610e2d5","Manage software models using the legacy Software Asset Management plugin","FAIL","PASS","104.7","3","2"
"manually-normalize-a-sam-foundation-software-discovery-model-failure-2025-12-10T08-39-14.html","2c5a89fe-dba5-8194-b480-d9749d0df84a","Manually normalize a SAM Foundation software discovery model in classic","FAIL","PASS","100.3","","1"
"merge-software-licenses-using-the-legacy-software-asset-mana-failure-2025-12-10T08-27-58.html","2c5a89fe-dba5-810f-a74a-d97fd775360c","Merge software licenses using the legacy Software Asset Management plugin","FAIL","PASS","102.8","1","2"
"migrate-software-asset-management-foundation-plugin-software-failure-2025-12-10T08-42-12.html","2c5a89fe-dba5-8119-87a5-df8a3c777a83","Migrate Software Asset Management Foundation plugin software installations","FAIL","PASS","97.8","","1"
"monitor-a-contract-failure-2025-12-10T08-51-26.html","2c5a89fe-dba5-810b-b895-e605e4aeefab","Monitor a contract","FAIL","FAIL","112","","1"
"overwrite-customizations-for-software-asset-management-found-failure-2025-12-10T08-43-07.html","2c5a89fe-dba5-8190-9315-c191757be867","Overwrite customizations for Software Asset Management Foundation plugin migration","FAIL","PASS","97.4","4","1"
"predictive-intelligence-for-incident-management-failure-2025-12-10T08-22-28.html","2c5a89fe-dba5-81ed-84e2-de48830c4dde","Predictive Intelligence for Incident Management","FAIL","PASS","95.3","",""
"receive-a-purchase-order-for-contract-assets-failure-2025-12-10T08-46-38.html","2c5a89fe-dba5-8146-94b5-f41ec0ea70d0","Receive a purchase order for contract assets","FAIL","FAIL","113.4","2","1"
"refresh-your-legacy-software-asset-management-plugin-process-failure-2025-12-10T08-32-44.html","2c5a89fe-dba5-810d-a6c6-cb7fc21b0103","Refresh your legacy Software Asset Management plugin processor definitions","FAIL","PASS","92.2","","1"
"renew-multiple-child-contracts-failure-2025-12-10T08-45-07.html","2c5a89fe-dba5-8198-a18b-ffc7bd6d4a43","Renew multiple child contracts","PASS","FAIL","109.6","1","1"
"reorder-a-purchase-order-failure-2025-12-10T08-58-53.html","2c5a89fe-dba5-818f-ae9a-fa96d329237c","Reorder a purchase order","FAIL","FAIL","127.3","","1"
"reorder-a-purchase-order-line-item-failure-2025-12-10T08-59-08.html","2c5a89fe-dba5-819f-8d93-f628d4d5e8d7","Reorder a purchase order line item","FAIL","FAIL","114.5","","1"
"request-predictive-intelligence-for-incident-failure-2025-12-10T08-23-20.html","2c5a89fe-dba5-816c-b135-d3d0a969e81a","Request Predictive Intelligence for Incident","FAIL","PASS","111","4","1"
"request-predictive-intelligence-for-incident-management-failure-2025-12-10T08-22-44.html","2c5a89fe-dba5-81fb-be78-c5a8914b605b","Request Predictive Intelligence for Incident Management","FAIL","FAIL","180","4","1"
"request-predictive-intelligence-for-major-incident-managemen-failure-2025-12-10T08-22-32.html","2c5a89fe-dba5-81db-a1df-e66da3ab4432","Request Predictive Intelligence for Major Incident Management","FAIL","FAIL","156.4","4","1"
"request-software-asset-management-foundation-plugin-failure-2025-12-10T08-37-31.html","2c5a89fe-dba5-8123-a855-c181140f9d73","Request Software Asset Management Foundation plugin","FAIL","FAIL","135.7","4","1"
"request-the-legacy-oracle-process-pack-failure-2025-12-10T08-35-05.html","2c5a89fe-dba5-817d-be7e-cd308b7bb565","Request the legacy Oracle Process Pack","FAIL","FAIL","132.4","4","1"
"review-contract-renewal-details-failure-2025-12-10T08-46-10.html","2c5a89fe-dba5-81a9-876f-f8988501a83c","Review contract renewal details","FAIL","PASS","106.3","","1"
